學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,國家,中文名稱,英文名稱,小計,男,女
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,南京大學,Nan Jing University,4,0,4
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,南開大學,Nankai University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,1,0
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,廈門大學,Xiamen University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),法國,蒙彼利埃第二大學,IAE,1,0,1
103,1,私立,一般大學,1001,東海大學,580203,景觀學系,學士班(日間),中國大陸,天津大學,Tianjin University,1,0,1
103,1,私立,一般大學,1001,東海大學,580203,景觀學系,學士班(日間),中國大陸,同濟大學,Tongji University,1,1,0
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),日本,千葉大學,Chiba University,1,1,0
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,2,0,2
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),中國大陸,四川大學,Sichuan University,1,1,0
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),美國,印地安納大學,Indiana University,1,0,1
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),日本,關西學院大學,KWANSEI GAKUIN University,1,0,1
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),日本,人間環境大學愛知大學,University of  human environments、Aichi University,1,1,0
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),中國大陸,中山大學,Sun Yat-sen University,1,0,1
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,3,0,3
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),南韓,崇實大學,Soongsil University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),法國,EDC商學院,EDC,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,中央財經大學,Central University of Finance & Economics,1,1,0
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,北京大學,Peking University,1,1,0
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,6,1,5
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,吉林大學,Jilin University,3,0,3
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),南韓,延世大學,Yonsei University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),德國,明斯特大學,Universität Münster,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),德國,明斯特大學,Universität Münster,1,0,1
103,1,私立,一般大學,1001,東海大學,480109,資訊管理學系,學士班(日間),中國大陸,北京大學/中國現代化研究基金會,Peking University,3,0,3
103,1,私立,一般大學,1001,東海大學,220901,歷史學系,學士班(日間),中國大陸,南開大學,Nankai University,1,0,1
103,1,私立,一般大學,1001,東海大學,810102,餐旅管理學系,學士班(日間),中國大陸,中山大學,Sun Yat-sen University,1,0,1
103,1,私立,一般大學,1001,東海大學,810102,餐旅管理學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,1,0,1
103,1,私立,一般大學,1001,東海大學,440302,應用物理學系,學士班(日間),日本,日本東海大學,Tokai Univ.,1,1,0
103,1,私立,一般大學,1001,東海大學,440302,應用物理學系,學士班(日間),日本,關西學院大學,KWANSEI GAKUIN Univ.,1,1,0
103,1,私立,一般大學,1001,東海大學,460102,應用數學系,學士班(日間),中國大陸,北京師範大學,Beijing Normal University,1,1,0
103,1,私立,一般大學,1001,東海大學,520904,環境科學與工程學系,學士班(日間),日本,日本春八/臺灣新竹國家同步輻射中心,SPring-8,2,0,2
103,1,私立,一般大學,1001,東海大學,520904,環境科學與工程學系,學士班(日間),中國大陸,廈門大學,Xiamen University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,220201,中國文學系,學士班(日間),中國大陸,北京師範大學,Beijing Normal University,2,2,0
103,1,私立,一般大學,1002,輔仁大學,310501,心理學系,學士班(日間),愛爾蘭,梅努斯大學,Maynooth University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,上智大學,Sophia University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,大東文化大學,Daito Bunka University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,立教大學,Rikkyo University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,同志社大學,Doshisha University,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,佐賀大學,Saga University,2,1,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,京都產業大學,Kyoto Sangyo University,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,東洋大學,Toyo University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,桃山學院大學,St. Andrew’s University,2,1,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,國際教養大學,Akita International University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,梅光學院大學,Baiko Gakuin University,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,清泉女子大學,Seisen University,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,費利斯女學院大學,Ferris University,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,聖心女子大學,University of the Sacred Heart,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,聖心女子大學,University of the Sacred Heart,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,聖母清心女子大學,Notre Dame Seishin University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,藤女子大學,Fuji Women's University,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,關東學院大學,Kanto Gakuin University,2,1,1
103,1,私立,一般大學,1002,輔仁大學,420103,生命科學系,學士班(日間),中國大陸,北京航空航天大學,Beihang University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,420103,生命科學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,340301,企業管理學系,學士班(日間),法國,波爾多管理學院,"Bordeaux School of Management, France",1,0,1
103,1,私立,一般大學,1002,輔仁大學,340301,企業管理學系,學士班(日間),日本,聖心女子大學,University of the Sacred Heart,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220318,西班牙語文學系,學士班(日間),墨西哥,伊比利美洲大學,Universidad Iberoamericana,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220318,西班牙語文學系,學士班(日間),南韓,梨花女子大學,Ewha Womans University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220318,西班牙語文學系,學士班(日間),西班牙,莎拉曼卡大學,University of Salamanca,14,3,11
103,1,私立,一般大學,1002,輔仁大學,220318,西班牙語文學系,學士班(日間),智利,智利天主教大學,Pontificia Universidad Católica de Chile,1,1,0
103,1,私立,一般大學,1002,輔仁大學,380101,法律學系,學士班(日間),中國大陸,北京理工大學,Beijing Institute of Technology,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),法國,艾克斯馬賽大學,Aix-Marseille University,4,2,2
103,1,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),法國,西部天主教大學,Université catholique de l'Ouest,5,0,5
103,1,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),法國,波爾多管理學院,"Bordeaux School of Management, France",2,0,2
103,1,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),法國,翁傑高等商學院,"ESSCA, School of Management",1,0,1
103,1,私立,一般大學,1002,輔仁大學,440301,物理學系,學士班(日間),美國,天普大學,Temple University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,440301,物理學系,學士班(日間),中國大陸,北京理工大學,Beijing Institute of Technology,1,0,1
103,1,私立,一般大學,1002,輔仁大學,760301,社會工作學系,學士班(日間),法國,勃艮第－第戎高等商學院,Groupe ESC Dijon Bourgogne / Burgundy School of Business,1,0,1
103,1,私立,一般大學,1002,輔仁大學,380101,法律學系,學士班(日間),南韓,韓國天主教大學,The Catholic University of Korea,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),法國,IRCOM公共關係與傳播學院,IRCOM (Institut des Relations publiques et de la Communication),3,0,3
103,1,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),中國大陸,上海外國語大學,Shanghai International Studies University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220314,法國語文學系,學士班(日間),比利時,天主教魯汶大學,Université Catholique de Louvain,3,0,3
103,1,私立,一般大學,1002,輔仁大學,220320,日本語文學系,學士班(日間),日本,信州大學,Shinshu University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,340522,金融與國際企業學系,學士班(日間),法國,巴黎高等管理學院,ISC Paris School of Management,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220307,英國語文學系,學士班(日間),新加坡,南洋理工大學,Nanyang Technological University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220307,英國語文學系,學士班(日間),美國,斯克蘭頓大學,University of Scranton,2,1,1
103,1,私立,一般大學,1002,輔仁大學,220307,英國語文學系,學士班(日間),澳大利亞,澳洲聖母大學,University of Notre Dame Australia,1,0,1
103,1,私立,一般大學,1002,輔仁大學,221101,哲學系,學士班(日間),中國大陸,南京大學,Nanjing University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,380201,財經法律學系,學士班(日間),中國大陸,中山大學,Sun Yat-Sen University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,380201,財經法律學系,學士班(日間),中國大陸,南京大學,Nanjing University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,460201,統計資訊學系,學士班(日間),泰國,易三倉大學,Assumption University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,460201,統計資訊學系,學士班(日間),日本,廣島大學,Hiroshima University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,580201,景觀設計學系,學士班(日間),中國大陸,東南大學,Southeast University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,580201,景觀設計學系,學士班(日間),中國大陸,南京大學,Nanjing University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,580201,景觀設計學系,學士班(日間),法國,諾曼第管理學院,Ecole de Management de Normandie,1,0,1
103,1,私立,一般大學,1002,輔仁大學,320202,新聞傳播學系,學士班(日間),新加坡,南洋理工大學,Nanyang Technological University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,320202,新聞傳播學系,學士班(日間),南韓,國立全南大學,Chonnam National University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,320202,新聞傳播學系,學士班(日間),中國大陸,清華大學,Tsinghua University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,320202,新聞傳播學系,學士班(日間),南韓,韓國天主教大學,The Catholic University of Korea,2,0,2
103,1,私立,一般大學,1002,輔仁大學,520101,電機工程學系,學士班(日間),中國大陸,清華大學,Tsinghua University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,320801,廣告傳播學系,學士班(日間),中國大陸,上海外國語大學,Shanghai International Studies University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,320801,廣告傳播學系,學士班(日間),中國大陸,同濟大學,Tongji University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,320302,影像傳播學系,學士班(日間),中國大陸,中國傳媒大學,Communication University of China,2,0,2
103,1,私立,一般大學,1002,輔仁大學,320302,影像傳播學系,學士班(日間),法國,里昂天主教大學,Université catholique de Lyon,1,0,1
103,1,私立,一般大學,1002,輔仁大學,320302,影像傳播學系,學士班(日間),德國,飛利浦馬堡大學,Philipps-Universität Marburg,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220316,德語語文學系,學士班(日間),德國,飛利浦馬堡大學,Philipps-Universität Marburg,28,4,24
103,1,私立,一般大學,1002,輔仁大學,220316,德語語文學系,學士班(日間),德國,雷根斯堡大學,University of Regensburg,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220316,德語語文學系,學士班(日間),中國大陸,對外經濟貿易大學,University of International Business and Economics,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220316,德語語文學系,學士班(日間),德國,德國天主教大學,Catholic University of Eichstätt-Ingolstadt,1,1,0
103,1,私立,一般大學,1002,輔仁大學,220901,歷史學系,學士班(日間),中國大陸,北京師範大學,Beijing Normal University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220901,歷史學系,學士班(日間),德國,飛利浦馬堡大學,Philipps-Universität Marburg,2,1,1
103,1,私立,一般大學,1002,輔仁大學,220901,歷史學系,學士班(日間),中國大陸,清華大學,Tsinghua University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,810102,餐旅管理學系,學士班(日間),西班牙,拉孟大學IQS經濟學院,"Facultad de Economia IQS, Universidad Ramon Llull",1,0,1
103,1,私立,一般大學,1002,輔仁大學,210101,應用美術學系,學士班(日間),中國大陸,北京師範大學,Beijing Normal University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,310505,臨床心理學系,學士班(日間),法國,亞塞格管理學院,IESEG School of Management,1,0,1
103,1,私立,一般大學,1002,輔仁大學,310505,臨床心理學系,學士班(日間),日本,國際教養大學,Akita International University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,310505,臨床心理學系,學士班(日間),日本,清泉女子大學,Seisen University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,810702,織品服裝學系,學士班(日間),瑞典,伯賀斯大學,University of Borås,10,0,10
103,1,私立,一般大學,1002,輔仁大學,810702,織品服裝學系,學士班(日間),中國大陸,清華大學,Tsinghua University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,720601,護理學系,學士班(日間),義大利,佩魯賈外國人大學,Universita per Stranieri di Perugia,1,0,1
103,1,私立,一般大學,1002,輔仁大學,720601,護理學系,學士班(日間),中國大陸,哈爾濱工業大學,Harbin Institute of Technology,1,0,1
103,1,私立,一般大學,1003,東吳大學,220201,中國文學系,學士班(日間),中國大陸,中山大學,Sun Yat-Sen University,1,1,0
103,1,私立,一般大學,1003,東吳大學,220201,中國文學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,1,私立,一般大學,1003,東吳大學,310501,心理學系,學士班(日間),日本,明治學院大學,Meiji Gakuin University,1,0,1
103,1,私立,一般大學,1003,東吳大學,310501,心理學系,學士班(日間),荷蘭,海牙應用科技大學,The Hague University of Applied Science,1,1,0
103,1,私立,一般大學,1003,東吳大學,310501,心理學系,學士班(日間),波蘭,華沙人文大學,Collegium Civitas,1,0,1
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,日本中央大學,Chuo University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,310101,經濟學系,學士班(日間),日本,國際教養大學,Akita International University,1,1,0
103,1,私立,一般大學,1002,輔仁大學,220325,義大利語文學系,學士班(日間),義大利,天主教米蘭聖心大學,Università Cattolica del Sacro Cuore MILANO,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220325,義大利語文學系,學士班(日間),中國大陸,北京外國語大學,Beijing Foreign Studies University,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220325,義大利語文學系,學士班(日間),義大利,西也那外國人大學,Universita per Stranieri di Siena,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220325,義大利語文學系,學士班(日間),中國大陸,對外經濟貿易大學,University of International Business and Economics,2,0,2
103,1,私立,一般大學,1002,輔仁大學,220325,義大利語文學系,學士班(日間),義大利,羅馬第三大學,Università degli Studi Roma Tre,1,1,0
103,1,私立,一般大學,1002,輔仁大學,220325,義大利語文學系,學士班(日間),義大利,羅馬智慧大學,Sapienza University of Rome,1,0,1
103,1,私立,一般大學,1002,輔仁大學,480109,資訊管理學系,學士班(日間),日本,信州大學,Shinshu University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,480109,資訊管理學系,學士班(日間),荷蘭,格羅寧根大學,University of Groningen,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220307,英國語文學系,學士班(日間),美國,天普大學,Temple University,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220307,英國語文學系,學士班(日間),法國,巴黎高等管理學院,ISC Paris School of Management,1,0,1
103,1,私立,一般大學,1002,輔仁大學,220307,英國語文學系,學士班(日間),南韓,西江大學,Sogang University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,日本拓殖大學,Takushoku University,5,1,4
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,日本宮崎大學教育文化學部,"Faculty of Education and Culture Graduate School of Education, University of Miyazaki",2,0,2
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),英國,牛津大學,University of Oxford,3,0,3
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,同志社大學,Doshisha University,4,0,4
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,明治學院大學,Meiji Gakuin University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,明海大學,Meikai University,7,2,5
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),南韓,建國大學,Konkuk University,1,1,0
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,愛知大學,Aichi University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,新潟大學國際交流中心,"International Office, Niigata University",3,0,3
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,學習院大學,Gakushuin University,3,0,3
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,西南學院大學,Seinan Gakuin University,2,1,1
103,1,私立,一般大學,1003,東吳大學,220320,日本語文學系,學士班(日間),日本,關西學院大學,Kwansei Gakuin University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,上海財經大學,Shanghai University of Finance and Economics,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,中央財經大學,Central University of Finance and Economics,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,中國人民大學,Renmin University of China,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,北京交通大學,Beijing Jiaotong University,2,1,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),法國,史特拉斯堡大學政治學院,"Institute of Political Studies,  University of Strasbourg",1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,四川大學,Sichuan University,1,1,0
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,同濟大學,Tongji University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),丹麥,哥本哈根商學院,Copenhagen Business School,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,清華大學,Tsinghua University,1,1,0
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),日本,新潟大學,Niigata University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),荷蘭,葛洛寧恩大學,University of Groningen,4,0,4
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),捷克,赫拉德茨克拉洛韋大學,University of Hradec Králové,1,0,1
103,1,私立,一般大學,1003,東吳大學,340301,企業管理學系,學士班(日間),中國大陸,蘇州大學,Soochow University,1,1,0
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),中國大陸,中國人民大學,Renmin University of China,1,0,1
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),中國大陸,北京師範大學,Beijing Normal University,1,0,1
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),日本,西南學院大學,Seinan Gakuin University,1,0,1
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),中國大陸,武漢大學,Wuhan University,1,1,0
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),中國大陸,清華大學,Tsinghua University,2,0,2
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),美國,費魯姆學院,Ferrum College,1,0,1
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),中國大陸,暨南大學,Jinan University,1,1,0
103,1,私立,一般大學,1003,東吳大學,380101,法律學系,學士班(日間),日本,獨協大學,Dokkyo University,1,1,0
103,1,私立,一般大學,1003,東吳大學,440301,物理學系,學士班(日間),美國,哈佛醫學院,Harvard Medical School,1,1,0
103,1,私立,一般大學,1003,東吳大學,440301,物理學系,學士班(日間),中國大陸,清華大學,Tsinghua University,2,2,0
103,1,私立,一般大學,1003,東吳大學,760301,社會工作學系,學士班(日間),法國,法國史特拉斯堡大學政治學院,"Institute of Political Studies,  University of Strasbourg",1,0,1
103,1,私立,一般大學,1003,東吳大學,760301,社會工作學系,學士班(日間),中國大陸,南開大學,Nankai University,1,0,1
103,1,私立,一般大學,1003,東吳大學,310301,社會學系,學士班(日間),日本,西南學院大學,Seinan Gakuin University,1,0,1
103,1,私立,一般大學,1003,東吳大學,310301,社會學系,學士班(日間),日本,青山學院大學,Aoyama Gakuin University,1,0,1
103,1,私立,一般大學,1003,東吳大學,310201,政治學系,學士班(日間),法國,法國史特拉斯堡大學政治學院,"Institute of Political Studies,  University of Strasbourg",1,1,0
103,1,私立,一般大學,1003,東吳大學,310201,政治學系,學士班(日間),中國大陸,華東師範大學,East China Normal University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),南韓,中央大學,Chung-Ang University,2,1,1
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),美國,中部田納西州立大學,Middle Tennessee State University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),英國,牛津大學,University of Oxford,8,0,8
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),中國大陸,北京外國語大學,Beijing Foreign Studies University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),澳大利亞,邦德大學,Bond University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),德國,明斯特大學,University of Muenster,1,0,1
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),中國大陸,東南大學,Southeast University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),瑞典,苑學品大學國際商學院,"Jönköping International Business School, Jönköping University",1,1,0
103,1,私立,一般大學,1003,東吳大學,220309,英文學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,1,私立,一般大學,1003,東吳大學,210401,音樂學系,學士班(日間),德國,明斯特大學,University of Muenster,1,0,1
103,1,私立,一般大學,1003,東吳大學,210401,音樂學系,學士班(日間),捷克,捷克赫拉德茨克拉洛韋大學,University of Hradec Králové,1,0,1
103,1,私立,一般大學,1003,東吳大學,469902,財務工程與精算數學系,學士班(日間),中國大陸,武漢大學,Wuhan University,1,1,0
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,上海財經大學,Shanghai University of Finance and Economics,1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),南韓,中央大學,Chung-Ang University,2,0,2
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),荷蘭,方提斯國際商學院,Fontys University of Applied Sciences,1,1,0
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,北京外國語大學,Beijing Foreign Studies University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,北京交通大學,Beijing Jiaotong University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),法國,里爾大學IESEG國際商學院,"IESEG School of Management, Lille Catholic",1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),德國,明斯特大學,University of Muenster,1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),日本,東北大學,Tohoku University,1,1,0
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),南韓,國立首爾大學,Seoul National University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,廈門大學,Xiamen University,1,0,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),法國,雷恩商學院,ESC Rennes School Of Business,2,1,1
103,1,私立,一般大學,1003,東吳大學,340408,國際經營與貿易學系,學士班(日間),荷蘭,漢斯應用科技大學,Hanze University of Applied Sciences,1,0,1
103,1,私立,一般大學,1003,東吳大學,420401,微生物學系,學士班(日間),波蘭,華沙人文大學,Collegium Civitas,1,0,1
103,1,私立,一般大學,1003,東吳大學,340201,會計學系,學士班(日間),捷克,赫拉德茨克拉洛韋大學,University of Hradec Králové,1,0,1
103,1,私立,一般大學,1003,東吳大學,310101,經濟學系,學士班(日間),美國,奧克拉荷馬市大學,Oklahoma City University,1,1,0
103,1,私立,一般大學,1003,東吳大學,480109,資訊管理學系,學士班(日間),中國大陸,北京交通大學,Beijing Jiaotong University,1,0,1
103,1,私立,一般大學,1003,東吳大學,480109,資訊管理學系,學士班(日間),中國大陸,蘇州大學,Soochow University,2,0,2
103,1,私立,一般大學,1003,東吳大學,310710,德國文化學系,學士班(日間),德國,明斯特大學,University of Muenster,21,2,19
103,1,私立,一般大學,1003,東吳大學,220901,歷史學系,學士班(日間),中國大陸,中山大學,Sun Yat-Sen University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220901,歷史學系,學士班(日間),日本,青山學院大學,Aoyama Gakuin University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220901,歷史學系,學士班(日間),中國大陸,清華大學,Tsinghua University,1,0,1
103,1,私立,一般大學,1003,東吳大學,220901,歷史學系,學士班(日間),中國大陸,廈門大學,Xiamen University,1,1,0
103,1,私立,一般大學,1004,中原大學,520301,土木工程學系,學士班(日間),中國大陸,中山大學,Sun Yat-sen University,1,1,0
